Marca temporal,Objetivo alcanzado,Objetivo que se desearía alcanzar,Circunstancias personales que contribuyan a la consecución (o no) de los objetivos,Conocimientos adquiridos gracias a la asignatura,¿Qué ha contribuido a la consecución de los objetivos de aprendizaje?,¿Cuales han sido los principales obstáculos para conseguir tus objetivos de aprendizaje?,Los objetivos alcanzados en esta asignatura me ayudarán a encontrar trabajo como ingeniero/a de software,"A medio y largo plazo, recordaré los objetivos que he aprendido en la asignatura",Recomendaré esta asignatura a quien tenga la posibilidad de matricularse,Diferencia objetivos,,
17/12/2021 9:07:16,4,6,Tengo asignaturas atrasadas de otros años,"Git y GitHub, Desarrollo basado en test, Lenguaje de programación elegido en el proyecto, Herramientas de construcción/gestores de tareas/gestores de dependencias, Conceptos de desarrollo ágil, Hacer revisiones de código, Buenas prácticas generales en programación","Las explicaciones cortas que se hacían al principio de clase, Reenvío sin límite de los objetivos, Ausencia de fecha límite de los envíos, Retroalimentación del profesor en los objetivos, Apoyo de los compañeros de clase y explicaciones de los mismos, Retroalimientación rápida sobre los objetivos, Tests que tienen que pasar los objetivos previos a la corrección., Seguimiento personalizado por parte del profesor, Claridad en los guiones sobre los objetivos a superar, Saber en qué momento de la asignatura se superan los objetivos mínimos para aprobar","Falta de conocimientos previos en los mismos., No ver una aplicación práctica real de los objetivos., El lenguaje elegido, habría necesitado más información para tomar esa decisión., El proyecto elegido, habría necesitado más información para tomar esa decisión, Retraso por parte del profesor en la corrección de algunos objetivos",4,3,Sí,2,,
17/12/2021 9:22:19,4,8,"Estoy trabajando/haciendo prácticas en una empresa de informática, No puedo asistir a clase de forma regular por cualquier circunstancia (no vivir en Granada, por ejemplo)","Git y GitHub, Desarrollo basado en test, Lenguaje de programación elegido en el proyecto, Herramientas de construcción/gestores de tareas/gestores de dependencias, Trabajar con contenedores, Conceptos de desarrollo ágil, Hacer revisiones de código, Buenas prácticas generales en programación","Seminarios cortos a principios de la asignatura, Reenvío sin límite de los objetivos, Ausencia de fecha límite de los envíos, Retroalimentación del profesor en los objetivos, Apoyo de los compañeros de clase y explicaciones de los mismos, Retroalimientación rápida sobre los objetivos, Tests que tienen que pasar los objetivos previos a la corrección., Seguimiento personalizado por parte del profesor, Clara aplicación práctica de los objetivos alcanzados","Tests de pre-entrega demasiado estrictos, Exigencias excesivas en la consecución de los objetivos., Carga de trabajo excesiva en otras asignaturas.",5,5,Sí,4,,
17/12/2021 13:25:08,4,6,"Estoy trabajando/haciendo prácticas en una empresa de informática, No puedo asistir a clase de forma regular por cualquier circunstancia (no vivir en Granada, por ejemplo)","Desarrollo basado en test, Herramientas de construcción/gestores de tareas/gestores de dependencias, Conceptos de desarrollo ágil, Hacer revisiones de código, Planificación y organización de un prototipo de proyecto","Las explicaciones cortas que se hacían al principio de clase, Reenvío sin límite de los objetivos, Retroalimentación del profesor en los objetivos, Seguimiento personalizado por parte del profesor, Claridad en los guiones sobre los objetivos a superar","Exigencias excesivas en la consecución de los objetivos., Sensación de que los requisitos y criterios de evaluación para un objetivo no son los mismos en los guiones que en la práctica ",4,5,Sí,2,,
16/12/2021 11:46:50,5,8,"Estoy trabajando/haciendo prácticas en una empresa de informática, No puedo asistir a clase de forma regular por cualquier circunstancia (no vivir en Granada, por ejemplo)","Git y GitHub, Desarrollo basado en test, Lenguaje de programación elegido en el proyecto, Herramientas de construcción/gestores de tareas/gestores de dependencias, Herramientas de integración/despliegue continuo, Trabajar con contenedores, Conceptos de desarrollo ágil, Buenas prácticas generales en programación","Explicaciones a grupos pequeños bajo demanda, Reenvío sin límite de los objetivos, Retroalimentación del profesor en los objetivos, Apoyo de los compañeros de clase y explicaciones de los mismos, Retroalimientación rápida sobre los objetivos, Tests que tienen que pasar los objetivos previos a la corrección., Seguimiento personalizado por parte del profesor, Claridad en los guiones sobre los objetivos a superar, Saber en qué momento de la asignatura se superan los objetivos mínimos para aprobar","Falta de conocimientos previos en los mismos., Carga de trabajo excesiva en otras asignaturas.",4,4,Sí,3,,
16/12/2021 14:56:47,5,10,Cuido de mi abuela y mi perrilla que se han puesto peores en este cuatrimestre las dos.,"Git y GitHub, Desarrollo basado en test, Lenguaje de programación elegido en el proyecto, Herramientas de construcción/gestores de tareas/gestores de dependencias, Trabajar con contenedores, Conceptos de desarrollo ágil, Hacer revisiones de código, Buenas prácticas generales en programación, Soy Abraham Gómez (gomares), me identifico para la encuesta personal.Me interesé por Python tanto que he comprado libros que estoy leyendo poco a poco, el despertar de esa curiosidad también se lo debo a esta asignatura.","El dedicar el tiempo de clase al trabajo práctico en vez de a escuchar al profesor, Las explicaciones cortas que se hacían al principio de clase, Explicaciones a grupos pequeños bajo demanda, Seminarios cortos a principios de la asignatura, Reenvío sin límite de los objetivos, Retroalimientación rápida sobre los objetivos, Tests que tienen que pasar los objetivos previos a la corrección., Saber en qué momento de la asignatura se superan los objetivos mínimos para aprobar","Falta de conocimientos previos en los mismos., En el objetivo 2 no tuve retroalimentación adecuada por parte de la persona con la que trabajé., Falta de material para poder resolver los retos de los objetivos, Al principio andaba un poco desesperado por aprobar el objetivo 2 y 1 que parecían imposibles.",5,5,Sí,5,,
16/12/2021 8:01:40,6,8,"Estoy trabajando/haciendo prácticas en una empresa de informática, Tengo otra asignatura + trabajo por lo que no me queda el tiempo que me gustaria dedicarle a la asignatura.","Git y GitHub, Desarrollo basado en test, Herramientas de construcción/gestores de tareas/gestores de dependencias, Herramientas de integración/despliegue continuo, Trabajar con contenedores, Conceptos de desarrollo ágil, Buenas prácticas generales en programación","Las explicaciones cortas que se hacían al principio de clase, Reenvío sin límite de los objetivos, Retroalimentación del profesor en los objetivos, Seguimiento personalizado por parte del profesor, Clara aplicación práctica de los objetivos alcanzados","Falta de conocimientos previos en los mismos., Carga de trabajo excesiva en otras asignaturas.",5,5,Sí,2,,
16/12/2021 8:27:48,6,8,"No puedo asistir a clase de forma regular por cualquier circunstancia (no vivir en Granada, por ejemplo)","Git y GitHub, Desarrollo basado en test, Lenguaje de programación elegido en el proyecto, Herramientas de construcción/gestores de tareas/gestores de dependencias, Herramientas de integración/despliegue continuo, Trabajar con contenedores, Conceptos de desarrollo ágil, Hacer revisiones de código, Buenas prácticas generales en programación","Retroalimentación del profesor en los objetivos, Apoyo de los compañeros de clase y explicaciones de los mismos, Tests que tienen que pasar los objetivos previos a la corrección., Seguimiento personalizado por parte del profesor, Saber en qué momento de la asignatura se superan los objetivos mínimos para aprobar","Falta de conocimientos previos en los mismos., Falta de claridad en los enunciados de los objetivos de aprendizaje., En el objetivo 2 tuve una carga de trabajo excesiva para ayudar a la persona que trabajaba en mi repositorio y/o falta de respuesta por parte de la misma",5,5,Sí,2,,
16/12/2021 8:42:05,6,10,carga de trabajo con otras asignaturas,"Git y GitHub, Desarrollo basado en test, Lenguaje de programación elegido en el proyecto, Herramientas de construcción/gestores de tareas/gestores de dependencias, Herramientas de integración/despliegue continuo, Trabajar con contenedores, Conceptos de desarrollo ágil, Hacer revisiones de código, Buenas prácticas generales en programación","El dedicar el tiempo de clase al trabajo práctico en vez de a escuchar al profesor, Explicaciones a grupos pequeños bajo demanda, Reenvío sin límite de los objetivos, Ausencia de fecha límite de los envíos, Retroalimentación del profesor en los objetivos, Apoyo de los compañeros de clase y explicaciones de los mismos, Retroalimientación rápida sobre los objetivos, Tests que tienen que pasar los objetivos previos a la corrección., Seguimiento personalizado por parte del profesor, Clara aplicación práctica de los objetivos alcanzados, Saber en qué momento de la asignatura se superan los objetivos mínimos para aprobar","Falta de conocimientos previos en los mismos., Falta de claridad en los enunciados de los objetivos de aprendizaje., Carga de trabajo excesiva en otras asignaturas., Falta de material para poder resolver los retos de los objetivos",4,5,Sí,4,,
16/12/2021 9:00:26,6,7,Problemas para asistir a la asignatura por depresión,"Git y GitHub, Desarrollo basado en test, Herramientas de construcción/gestores de tareas/gestores de dependencias, Trabajar con contenedores, Conceptos de desarrollo ágil, Buenas prácticas generales en programación","Las explicaciones cortas que se hacían al principio de clase, Ausencia de fecha límite de los envíos, Retroalimentación del profesor en los objetivos, Tests que tienen que pasar los objetivos previos a la corrección., Seguimiento personalizado por parte del profesor, Claridad en los guiones sobre los objetivos a superar, Clara aplicación práctica de los objetivos alcanzados, Saber en qué momento de la asignatura se superan los objetivos mínimos para aprobar","Falta de conocimientos previos en los mismos., El proyecto elegido, habría necesitado más información para tomar esa decisión",3,5,Sí,1,,
16/12/2021 9:16:24,6,10,Tengo otras asignaturas con bastante carga de trabajo y el tfg,"Git y GitHub, Desarrollo basado en test, Lenguaje de programación elegido en el proyecto, Herramientas de construcción/gestores de tareas/gestores de dependencias, Herramientas de integración/despliegue continuo, Trabajar con contenedores, Conceptos de desarrollo ágil, Hacer revisiones de código","Las explicaciones cortas que se hacían al principio de clase, Reenvío sin límite de los objetivos, Ausencia de fecha límite de los envíos, Apoyo de los compañeros de clase y explicaciones de los mismos, Seguimiento personalizado por parte del profesor, Clara aplicación práctica de los objetivos alcanzados","Falta de conocimientos previos en los mismos., Falta de claridad en los enunciados de los objetivos de aprendizaje., Carga de trabajo excesiva en otras asignaturas., Falta de material para poder resolver los retos de los objetivos",4,4,Sí,4,,
16/12/2021 9:27:49,6,10,"(en principio no tengo motivos personales, pero es obligatorio responder a esta preguntar).","Git y GitHub, Desarrollo basado en test, Herramientas de construcción/gestores de tareas/gestores de dependencias, Herramientas de integración/despliegue continuo, Trabajar con contenedores, Conceptos de desarrollo ágil, Hacer revisiones de código, Buenas prácticas generales en programación","El dedicar el tiempo de clase al trabajo práctico en vez de a escuchar al profesor, Explicaciones a grupos pequeños bajo demanda, Reenvío sin límite de los objetivos, Retroalimentación del profesor en los objetivos, Apoyo de los compañeros de clase y explicaciones de los mismos, Retroalimientación rápida sobre los objetivos, Tests que tienen que pasar los objetivos previos a la corrección., Seguimiento personalizado por parte del profesor, Clara aplicación práctica de los objetivos alcanzados, Saber en qué momento de la asignatura se superan los objetivos mínimos para aprobar","Falta de conocimientos previos en los mismos., Exigencias excesivas en la consecución de los objetivos., Carga de trabajo excesiva en otras asignaturas., En el objetivo 2 no tuve retroalimentación adecuada por parte de la persona con la que trabajé., Falta de material para poder resolver los retos de los objetivos, Creo que el mayor problema de la asignatura ha sido el ritmo de entrega de objetivos. En mi experiencia, ha sido de uno cada dos semanas. En general, programar solía llevar una semana, y corregirlo una más adicional.  Habiendo intentado ir al día, había momentos en los que no me merecía la pena afinar del todo el PR. Esto puede ser debido a que los tests no estaban listos, o los requisitos han cambiado durante el desarrollo. Por ejemplo, esto me pasó durante el objetivo del CI. Costó sacarlo, y al final funcionó debidamente todo, pero llevó bastante tiempo. Supongo que es parte del desarrollo ágil, pero atrasa la entrega de los objetivos sin ninguna duda.   Otro gran problema es la falta de perspectiva. Para tomar algunas decisiones, hace falta perspectiva global de la asignatura. Y al principio de cuatrimestre es muy difícil hacerlo correctamente. Como yo lo veo, lo que en el futuro nos dará la capacidad de elegir correctamente es haber tenido esta asignatura (pero de esto ya hemos hablado en clase varias veces. Y ahora mismo, de hecho, con respecto a la elección de frameworks).",5,4,Sí,4,,
16/12/2021 10:13:06,6,10,El tiempo necesario para superar los objetivos es elevado y el resto de las asignaturas no dan mucho margen.,"Desarrollo basado en test, Lenguaje de programación elegido en el proyecto, Herramientas de construcción/gestores de tareas/gestores de dependencias, Herramientas de integración/despliegue continuo, Trabajar con contenedores, Conceptos de desarrollo ágil, Hacer revisiones de código, Buenas prácticas generales en programación","Explicaciones a grupos pequeños bajo demanda, Seminarios cortos a principios de la asignatura, Reenvío sin límite de los objetivos, Ausencia de fecha límite de los envíos, Retroalimentación del profesor en los objetivos, Tests que tienen que pasar los objetivos previos a la corrección., Seguimiento personalizado por parte del profesor, Clara aplicación práctica de los objetivos alcanzados","Falta de claridad en los enunciados de los objetivos de aprendizaje., Ausencia de fecha límite de entrega de los objetivos., Carga de trabajo excesiva en otras asignaturas., En el objetivo 2 no tuve retroalimentación adecuada por parte de la persona con la que trabajé., En el objetivo 2 tuve una carga de trabajo excesiva para ayudar a la persona que trabajaba en mi repositorio y/o falta de respuesta por parte de la misma, Falta de material para poder resolver los retos de los objetivos",5,5,Sí,4,,
17/12/2021 8:51:26,6,8,Estudiante del Doble Grado Informática y Matemáticas y haciendo el TFG,"Git y GitHub, Desarrollo basado en test, Herramientas de construcción/gestores de tareas/gestores de dependencias, Herramientas de integración/despliegue continuo, Trabajar con contenedores, Conceptos de desarrollo ágil, Hacer revisiones de código, Buenas prácticas generales en programación","El dedicar el tiempo de clase al trabajo práctico en vez de a escuchar al profesor, Las explicaciones cortas que se hacían al principio de clase, Seminarios cortos a principios de la asignatura, Reenvío sin límite de los objetivos, Ausencia de fecha límite de los envíos, Retroalimentación del profesor en los objetivos, Apoyo de los compañeros de clase y explicaciones de los mismos, Seguimiento personalizado por parte del profesor, Clara aplicación práctica de los objetivos alcanzados, Saber en qué momento de la asignatura se superan los objetivos mínimos para aprobar","Falta de conocimientos previos en los mismos., Falta de claridad en los enunciados de los objetivos de aprendizaje., Demasiado tiempo en clase dedicado a contestar dudas de otras personas., El proyecto elegido, habría necesitado más información para tomar esa decisión, Retraso por parte del profesor en la corrección de algunos objetivos, Falta de material para poder resolver los retos de los objetivos",5,5,Sí,2,,
17/12/2021 14:21:33,6,7,No hay suficiente tiempo material para hacer todos los objetivos a tiempo antes de navidad,"Git y GitHub, Desarrollo basado en test, Herramientas de construcción/gestores de tareas/gestores de dependencias, Herramientas de integración/despliegue continuo, Trabajar con contenedores, Conceptos de desarrollo ágil, Hacer revisiones de código, Buenas prácticas generales en programación","El dedicar el tiempo de clase al trabajo práctico en vez de a escuchar al profesor, Reenvío sin límite de los objetivos, Ausencia de fecha límite de los envíos, Retroalimentación del profesor en los objetivos, Apoyo de los compañeros de clase y explicaciones de los mismos, Seguimiento personalizado por parte del profesor, Clara aplicación práctica de los objetivos alcanzados, Saber en qué momento de la asignatura se superan los objetivos mínimos para aprobar","Falta de conocimientos previos en los mismos., Falta de claridad en los enunciados de los objetivos de aprendizaje., Exigencias excesivas en la consecución de los objetivos., Carga de trabajo excesiva en otras asignaturas., El lenguaje elegido, habría necesitado más información para tomar esa decisión., El proyecto elegido, habría necesitado más información para tomar esa decisión, Retraso por parte del profesor en la corrección de algunos objetivos, Falta de material para poder resolver los retos de los objetivos",5,5,No,1,,
17/12/2021 14:28:22,6,10, Doble Grado con Matemáticas,"Git y GitHub, Desarrollo basado en test, Lenguaje de programación elegido en el proyecto, Herramientas de construcción/gestores de tareas/gestores de dependencias, Herramientas de integración/despliegue continuo, Trabajar con contenedores, Conceptos de desarrollo ágil, Hacer revisiones de código, Buenas prácticas generales en programación","Las explicaciones cortas que se hacían al principio de clase, Reenvío sin límite de los objetivos, Retroalimentación del profesor en los objetivos, Apoyo de los compañeros de clase y explicaciones de los mismos, Retroalimientación rápida sobre los objetivos","Falta de conocimientos previos en los mismos., Demasiado tiempo en clase dedicado a contestar dudas de otras personas., Exigencias excesivas en la consecución de los objetivos., Carga de trabajo excesiva en otras asignaturas., Retraso por parte del profesor en la corrección de algunos objetivos",4,5,Sí,4,,
17/12/2021 8:55:59,7,10,He asistido a todas las clases menos una en la que tuve una reunión del TFG,"Git y GitHub, Lenguaje de programación elegido en el proyecto, Herramientas de construcción/gestores de tareas/gestores de dependencias, Herramientas de integración/despliegue continuo, Trabajar con contenedores, Conceptos de desarrollo ágil, Hacer revisiones de código","Las explicaciones cortas que se hacían al principio de clase, Seminarios cortos a principios de la asignatura, Reenvío sin límite de los objetivos, Ausencia de fecha límite de los envíos, Retroalimentación del profesor en los objetivos, Apoyo de los compañeros de clase y explicaciones de los mismos, Seguimiento personalizado por parte del profesor, Claridad en los guiones sobre los objetivos a superar, Clara aplicación práctica de los objetivos alcanzados, Saber en qué momento de la asignatura se superan los objetivos mínimos para aprobar","Ausencia de fecha límite de entrega de los objetivos., Carga de trabajo excesiva en otras asignaturas., El proyecto elegido, habría necesitado más información para tomar esa decisión",3,4,Sí,3,,
17/12/2021 13:14:09,7,10,Carga de trabajo de otras asignaturas del curso actual,"Git y GitHub, Desarrollo basado en test, Lenguaje de programación elegido en el proyecto, Herramientas de construcción/gestores de tareas/gestores de dependencias, Herramientas de integración/despliegue continuo, Trabajar con contenedores, Conceptos de desarrollo ágil, Hacer revisiones de código, Buenas prácticas generales en programación, Justificaciones técnicas, etcd","Explicaciones a grupos pequeños bajo demanda, Seminarios cortos a principios de la asignatura, Reenvío sin límite de los objetivos, Ausencia de fecha límite de los envíos, Retroalimentación del profesor en los objetivos, Retroalimientación rápida sobre los objetivos, Tests que tienen que pasar los objetivos previos a la corrección., Seguimiento personalizado por parte del profesor, Clara aplicación práctica de los objetivos alcanzados",Carga de trabajo excesiva en otras asignaturas.,5,5,Sí,3,,
