Marca temporal,"Al final de la asignatura, ¿crees que el método de clase invertida es mejor para el estudiante que la clase tradicional?","¿Que crees que has aprendido, es decir, que sabes lo suficiente como para seguir usándolo en el resto de las asignaturas o tu desempeño profesional?",¿Qué te parece el sistema de evaluación automática usando integración continua?,"Si tuvieras que hacer algún cambio a la asignatura, tanto a la materia como a la forma de impartirla, ¿cuál sería?",Sugerencias
16/01/2020 10:37:45,Sí,"Desarrollo basado en test, Contenedores, Uso extensivo de Git y GitHub, Integración continua",Me ayuda a tener una retroalimentación inmediata sobre si mi práctica está bien o mal.,Eliminar los objetivos y su entrega,
16/01/2020 20:11:03,Sí,"Desarrollo basado en test, Microservicios, Contenedores, Herramientas de provisionamiento como Ansible, Gestores de tareas como Gulp o Makefile, Uso extensivo de Git y GitHub, Uso de cloud, Integración continua","Me ayuda a entregar una práctica con menos errores., Me complica la vida porque no entiendo los errores., Me ayuda a tener una retroalimentación inmediata sobre si mi práctica está bien o mal.","Añadir más seminarios, con más periodicidad, Coordinarse mejor con otras asignaturas de forma que impartieran la base para esta, Añadir más tecnologías como Kubernetes, Añadir hackatones al final de la asignatura para terminar el proyecto como otros años, Añadir un curso específico antes de empezar la asignatura para clarificar, por ejemplo, el uso de Git, o el desarrollo basado en tests",
16/01/2020 21:06:35,Sí,"Desarrollo basado en test, Un nuevo lenguaje, Herramientas de provisionamiento como Ansible, Gestores de tareas como Gulp o Makefile, Uso extensivo de Git y GitHub, Integración continua","Me ayuda a entregar una práctica con menos errores., Los test que se utilizan no los veo 100% útiles en la evalución.","Eliminar los objetivos y su entrega, Coordinarse mejor con otras asignaturas de forma que impartieran la base para esta, Añadir un curso específico antes de empezar la asignatura para clarificar, por ejemplo, el uso de Git, o el desarrollo basado en tests","Forma de evaluación un tanto dura (a veces se entiende pero otras no), quizas sería bueno dejar las cuatro cosas que se deben o no hacer escritas en el repo de la asignatura para no llevarse ninguna sorpresa."
17/01/2020 9:44:24,Sí,"Desarrollo basado en test, Microservicios, Contenedores, Uso extensivo de Git y GitHub, Uso de cloud, Integración continua","Me ayuda a entregar una práctica con menos errores., Me ayuda a tener una retroalimentación inmediata sobre si mi práctica está bien o mal.","Eliminar la materia de teoría y sustituirla por mejores descripciones de los hitos y enlaces desde los mismos, Añadir más seminarios, con más periodicidad, Coordinarse mejor con otras asignaturas de forma que impartieran la base para esta, Añadir un curso específico antes de empezar la asignatura para clarificar, por ejemplo, el uso de Git, o el desarrollo basado en tests",
17/01/2020 9:54:34,Sí,"Desarrollo basado en test, Microservicios, Contenedores, Herramientas de provisionamiento como Ansible, Uso extensivo de Git y GitHub, Integración continua","Me ayuda a entregar una práctica con menos errores., Me ayuda a tener una retroalimentación inmediata sobre si mi práctica está bien o mal.","Eliminar la materia de teoría y sustituirla por mejores descripciones de los hitos y enlaces desde los mismos, Añadir más seminarios, con más periodicidad, Añadir un curso específico antes de empezar la asignatura para clarificar, por ejemplo, el uso de Git, o el desarrollo basado en tests",
17/01/2020 10:31:05,Sí,"Desarrollo basado en test, Microservicios, Un nuevo lenguaje, Contenedores, Herramientas de provisionamiento como Ansible, Gestores de tareas como Gulp o Makefile, Uso extensivo de Git y GitHub, Uso de cloud, Integración continua",Me ayuda a tener una retroalimentación inmediata sobre si mi práctica está bien o mal.,"Añadir más seminarios, con más periodicidad",
17/01/2020 10:57:25,No,"Desarrollo basado en test, Gestores de tareas como Gulp o Makefile, El desarrollo basado en test creo que esta muy mal enfocado en esta asignatura, debería testearse el código de la infrastructura y no el de un proyecto escrito en cualquier lenguaje de programación.","Como idea me gusta bastante, pero en la práctica la evaluación no es automática para nada, es totalmente subjetiva y vagamente definida en los requisitos de los hítos.","Añadir más tecnologías como Kubernetes, Desarrollo basado en test de la aplicación fuera, no pinta nada en esta asignatura. Vagrant forma parte del pasado, Kubernetes es imprescindible. Herramientas como Ansible o Salt deberían de estuadiarse más a fondo.","Ser más coherentes con la carga de trabajo de la asignatura. Probablemente es buena idea eliminar el proyecto de cada alumno y proporcionar material para cada híto, de esta forma se podría dedicar más tiempo a lo que realmente importa (la infraestructura)."
20/01/2020 13:24:09,Sí,"Uso extensivo de Git y GitHub, Uso de cloud",Me ayuda a tener una retroalimentación inmediata sobre si mi práctica está bien o mal.,"Eliminar la materia de teoría y sustituirla por mejores descripciones de los hitos y enlaces desde los mismos, Añadir más seminarios, con más periodicidad",
24/01/2020 9:52:50,Sí,"Desarrollo basado en test, Microservicios, Herramientas de provisionamiento como Ansible, Gestores de tareas como Gulp o Makefile, Uso extensivo de Git y GitHub, Uso de cloud, Integración continua","Me ayuda a entregar una práctica con menos errores., Me ayuda a tener una retroalimentación inmediata sobre si mi práctica está bien o mal.","Añadir más seminarios, con más periodicidad, Añadir más tecnologías como Kubernetes, Añadir hackatones al final de la asignatura para terminar el proyecto como otros años, Añadir un curso específico antes de empezar la asignatura para clarificar, por ejemplo, el uso de Git, o el desarrollo basado en tests",
27/01/2020 10:46:36,Sí,"Desarrollo basado en test, Microservicios, Contenedores, Herramientas de provisionamiento como Ansible, Gestores de tareas como Gulp o Makefile, Uso extensivo de Git y GitHub, Uso de cloud, Integración continua","Me complica la vida porque no entiendo los errores., Me ayuda a tener una retroalimentación inmediata sobre si mi práctica está bien o mal.","Eliminar los objetivos y su entrega, Añadir más tecnologías como Kubernetes, Añadir hackatones al final de la asignatura para terminar el proyecto como otros años, Añadir un curso específico antes de empezar la asignatura para clarificar, por ejemplo, el uso de Git, o el desarrollo basado en tests",
28/01/2020 10:19:13,No,"Microservicios, Contenedores, Uso extensivo de Git y GitHub, Uso de cloud, Integración continua",Me ayuda a tener una retroalimentación inmediata sobre si mi práctica está bien o mal.,"Eliminar los objetivos y su entrega, Eliminar la materia de teoría y sustituirla por mejores descripciones de los hitos y enlaces desde los mismos",
28/01/2020 10:31:59,Sí,"Microservicios, Un nuevo lenguaje, Contenedores, Uso extensivo de Git y GitHub",Me ayuda a entregar una práctica con menos errores.,"Añadir más tecnologías como Kubernetes, Añadir un curso específico antes de empezar la asignatura para clarificar, por ejemplo, el uso de Git, o el desarrollo basado en tests",
28/01/2020 10:37:52,Sí,"Desarrollo basado en test, Microservicios, Un nuevo lenguaje, Contenedores, Uso extensivo de Git y GitHub","Me ayuda a entregar una práctica con menos errores., Me ayuda a tener una retroalimentación inmediata sobre si mi práctica está bien o mal., Es bochornoso tambien",Eliminar los objetivos y su entrega,
28/01/2020 10:43:14,No,"Desarrollo basado en test, Gestores de tareas como Gulp o Makefile, Uso extensivo de Git y GitHub, Integración continua, Documentación de software!",Me ayuda a entregar una práctica con menos errores.,"Añadir más seminarios, con más periodicidad, Aunque he marcado que es mejor clase tradicional, la flexibilidad que aporta la clase invertida es un gran punto a su favor. Dicho esto, creo que hubiera estado bien algunas clases teóricas para explicar los conceptos más importantes de cada tema.","Creo que soy de los pocos que ha hecho un uso extenso del material de teoría. A mi personalmente me ha ayudado mucho para aplicar lo que se pide en cada hito pero en ejemplos mucho más sencillos y reducidos que mi proyecto de la asignatura, quizás será porque mi proyecto era bastante complejo pero si no hubiera tenido el material de teoría dudo que hubiera conseguido superar la asignatura. 

Me da pena haber hecho prácticamente todos los ejercicios de la evaluación continua de teoría, redactándolos con esmero en mi repositorio de ejercicios para que no valiesen nada de cara a la nota final de la asignatura. Estaría bien dejar muy claro para próximos años si los ejercicios son obligatorios o voluntarios. Digo esto porque, aunque se mencionaba que los ejercicios eran para evaluación personal de cada uno, me consta que el año pasado se tenía la misma creencia y al finalizar la asignatura hubo gente que perdió nota por no tener dichos ejercicios resueltos.

Aunque quizás le dediqué a la asignatura más horas de las que deberían ser 6 créditos puedo decir sin lugar a dudas que esta es la asignatura donde más he aprendido de toda la carrera, el temario me ha parecido muy interesante y la he disfrutado con creces. De hecho, yo no soy alumno de Tecnologías de la información, mi especialidad es Ingeniería del Software y decidí no finalizarla tras comprobar que las asignaturas de 4º de dicha rama no me llenaban en absoluto. Me la jugué matriculándome en IV y he de decir que me alegro mucho de haber tomado esa decisión."
28/01/2020 12:24:08,Sí,"Desarrollo basado en test, Microservicios, Contenedores, Uso extensivo de Git y GitHub, Uso de cloud, Integración continua","Me ayuda a entregar una práctica con menos errores., Me ayuda a tener una retroalimentación inmediata sobre si mi práctica está bien o mal., cuesta un poco entender los tests en Perl, sobre todo al principio.",Eliminar solo la entrega de los objetivos,"Explicar el funcionamiento de la asignatura mejor antes del hito 0. Evitar el uso de Google Docs para publicar las notas. Intentar mejorar la claridad de los textos de los hitos. A grandes rasgos, creo que se hace un buen trabajo en la docencia de esta asignatura."
