Marca temporal,Grado de dificultad de la cuarta práctica con respecto a la metodología,¿Cuantas horas de trabajo adicionales le has dedicado a la asignatura? (no cuenta el hackatón),Uso del material de la asignatura,¿Cómo has resuelto las dudas?,¿Estás usando o crees que usarás lo aprendido en la asignatura para otras o fuera de la misma?,"¿En general, te ha parecido mejor la filosofía de clase invertida que la de clase magistral tradicional?",Sugerencias para mejorar la asignatura en la siguiente iteración,¿Qué has usado de IV en otras asignaturas?,¿Dónde has usado esos contenidos?,Cuenta con tus propias palabras qué has aprendido,"En caso de poder elegirla como optativa, ¿recomendarás que se elija esta asignatura?","En general, la asignatura ¿ha respondido a tu expectativas?",Comenta los aspectos positivos de la asignatura,Comenta los aspectos negativos o en los que se debe mejorar en la asignatura,Comenta los aspectos negativos por los que no la recomendarías,"Comenta los aspectos positivos que, a pesar de todo, hayas visto",¿Hay alguna materia que te hubiera gustado ver y no has visto?,¿Qué te ha parecido la experiencia de la última práctica?
27/01/2014 20:04:47,3,Entre 5 y 10 horas,100%,"Preguntando al profesor en clase, Usando los issues de GitHub, Preguntando a los compañeros., Buscando por Internet",Sí,Mucho mejor,,,,"Trabajo bajo presión. Realizar un proyecto completo desde el inicio (Entrevista con cliente, organización...). Uso de Paas...",Sí,Por encima de mis expectativas,,,,,Ninguna,Muy positiva
27/01/2014 20:05:29,2,Entre 5 y 10 horas,Entre un 50 y un 75,"Preguntando al profesor en clase, Preguntando a los compañeros., Buscando por Internet",Sí,Mucho mejor,"No se me ocure, mas tiempo.

",,,"El uso de git y github, tanto para trabajar de forma autonoma como en cooperacion.

Utilizar y administrar servidores virutales como puede ser Azure o Paas como openShift.

Familiarizarme con la administracion de servidores de forma remota.

Creacion de jaulas, contenedores y entornos  aislados.

Hacer algunas instalaciones basicas con juju.

Sobre almacenamiento, como crear archivos de imagenes para entornos virtuales, y a configurar fuse.

Montar maquinas virtuales con qemu y usar kvm

Hacer despliegues con chef y asible

Iniciarme en Ruby. 

Trabajar en equipo (que no es lo mismo que en grupo), y en casos parecidos a los del mundo laboral. 

Lenguajes de marcado markdown. 

Intalar ubuntu muchas veces.



",Sí,Muy por encima de mis expectativas,"Muchas herramientas con utilidad real, aprendidas o al menos conocidas.

Trabajo en equipo y colaboración.

Relación tiempo dedicado/conocimientos adquiridos alta.

Relación con la asignatura de DAI.


 ","Creo que serian necesarios más puntos de sincronización en lo que es entrega de las actividades, no solo en las entregas de las practicas, para que exista menos descuelgue entre unos alumnos y otros.

",,,No se me ocurre.,Muy positiva
27/01/2014 22:00:40,3,Entre 5 y 10 horas,Entre un 75 y un 100,"Preguntando a los compañeros., Buscando por Internet",Sí,Mejor,,,,"He aprendido el uso de Linux y máquinas virtuales, cómo trabajar en la nube y poder compartir tu trabajo.",Sí,De acuerdo con mis expectativas,,,,,No.,Muy positiva
27/01/2014 22:46:58,4,Hasta 5 horas,Menos de un 25,"Preguntando al profesor en clase, Preguntando a los compañeros., Buscando por Internet",Sí,Mejor,"hackaton en una fechas más separadas de los exámenes. 
Aclarar los objetivos de la practica (en esta última), no solo en el guión.",,,"Uso de github, uso de azure, uso de openshift.
",Sí,De acuerdo con mis expectativas,"- Estilo de dar la clase.
- Ambiente en la clase tanto con el profesor como con los compañeros.
- Conceptos útiles para próximos proyectos.","No tengo nada en contra de Linux, de hecho me gusta más que windows, pero se podía buscar para algunos apartados de la asignatura poder trabajar con otra plataforma que no sea Linux, en mi caso en Mac.
",,,En principio todo OK.,Muy positiva
28/01/2014 11:49:33,2,Hasta 5 horas,Entre un 25 y un 50,Buscando por Internet,Sí,Mucho mejor,"Poner grupos de un número de personas fijo, para tener todos las mismas posibilidades.",,,"Ha sido muy buena experiencia, y he ampliado mis conocimientos sobre las materias bastante más que en ningún examen.",Sí,Muy por encima de mis expectativas,"Aprenderás cosas útiles, el profesor es muy buena persona y te ayuda en todo lo que el puede.","Adelantar los últimos temas de recetas, para poderlos usar en la práctica final, ya que en mi caso, aún no lo controlo",,,"haber replicado el servidor, haber realizado alguna receta...",Muy positiva
28/01/2014 13:07:26,5,Hasta 5 horas,Entre un 50 y un 75,Buscando por Internet,Sí,Mucho mejor,,,,Mucho y muy variado.,Sí,De acuerdo con mis expectativas,,,,,Creo que  no.,Muy positiva
28/01/2014 13:11:05,2,Hasta 5 horas,Entre un 25 y un 50,"Preguntando al profesor en clase, Preguntando a los compañeros., Buscando por Internet",Sí,Mejor,Para la ultima practica buscar una fecha adecuada.,,,Trabajo en equipo y bajo presión.,Sí,De acuerdo con mis expectativas,,,,,Nada en especial.,Positiva
28/01/2014 13:34:26,2,Más de 20 horas.,100%,"Preguntando al profesor en clase, Usando los issues de GitHub, Preguntando a los compañeros., Buscando por Internet",Sí,Mucho mejor,,,,"En esta asignatura he conseguido perfeccionar muchos conceptos que en otras asignaturas no había dado tan profundamente. El uso de ""github"" y sobre todo una buena experiencia con los proyectos realizados en cocorocó.",Sí,Por encima de mis expectativas,Creo que esta asignatura me ha enseñado un montón de cosas que antes no conocía ,No tengo que comentar ningún aspecto negativo sobre la asignatura.,,,No ,Muy positiva
29/01/2014 12:53:35,3,Hasta 5 horas,Menos de un 25,"Usando los issues de GitHub, Preguntando a los compañeros., Buscando por Internet",Sí,Peor,Las prácticas deberían contar más nota a la hora de la evaluación. Ya que sin la aplicación practica esta asignatura carece de sentido.,,,He aprendido a manejarme mejor con Github y la importancia del trabajo en grupo.,Sí,De acuerdo con mis expectativas,"Te ayuda a aprender a manejarte en la nube, cosa que se ha vuelto muy necesaria en estos años.",,,,No,Muy positiva
1/02/2014 16:53:37,2,Más de 20 horas.,Entre un 75 y un 100,"Preguntando al profesor en clase, Usando los issues de GitHub, Preguntando a los compañeros., Buscando por Internet",Sí,Mejor,,,,He cumplido los objetivos de la Asignatura,Sí,Por encima de mis expectativas,"Profesor, Materia de la Asignatura, practicas (sobre todo la ultima)...",,,,No se me ocurre nada relacionado que no hayamos tocado aunque sea de refilón,Muy positiva
